연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
어르신,M,65~69,item_f001,신장,2907,158.4,160.1,163.6,167.1,170.9,174.1,176.07,167.13,5.53
어르신,M,70~74,item_f001,신장,2441,156.6,158.7,162.0,165.8,169.8,172.7,174.7,165.68,6.06
어르신,M,75~79,item_f001,신장,1844,155.7,157.6,161.1,164.6,168.72,172.2,174.08,164.75,5.83
어르신,M,80+,item_f001,신장,1058,152.77,155.67,159.2,163.0,167.0,170.7,173.41,162.97,6.23
어르신,M,65~69,item_f008,악력(우),2904,25.82,28.6,33.1,37.0,41.1,45.1,47.5,36.94,6.58
어르신,M,70~74,item_f008,악력(우),2438,23.68,26.5,30.4,34.6,38.7,42.23,44.3,34.46,6.27
어르신,M,75~79,item_f008,악력(우),1841,21.3,23.8,27.7,31.9,35.7,39.4,41.6,31.61,6.21
어르신,M,80+,item_f008,악력(우),1057,16.7,19.36,23.5,28.6,32.5,36.4,38.7,28.13,6.73
어르신,M,65~69,item_f007,악력(좌),2904,24.4,27.53,31.4,35.4,39.6,43.5,46.0,35.4,6.49
어르신,M,70~74,item_f007,악력(좌),2437,22.98,25.16,29.1,33.1,37.0,40.3,42.7,32.98,6.11
어르신,M,75~79,item_f007,악력(좌),1841,20.4,22.7,26.5,30.4,34.3,37.5,39.9,30.26,6.12
어르신,M,80+,item_f007,악력(좌),1057,15.1,18.0,22.3,27.1,31.0,34.7,37.0,26.58,6.66
어르신,M,65~69,item_f012,앉아윗몸앞으로굽히기,2852,-8.64,-4.0,2.3,7.9,13.0,17.2,19.4,7.22,8.4
어르신,M,70~74,item_f012,앉아윗몸앞으로굽히기,2397,-10.0,-7.0,0.1,5.8,11.4,16.1,18.92,5.28,8.85
어르신,M,75~79,item_f012,앉아윗몸앞으로굽히기,1806,-14.62,-9.0,-2.1,3.95,9.5,14.5,18.18,3.27,9.27
어르신,M,80+,item_f012,앉아윗몸앞으로굽히기,1033,-17.7,-13.0,-6.0,1.3,7.5,12.7,16.0,0.56,9.75
어르신,M,65~69,item_f023,의자앉았다일어서기,2867,14.3,17.0,20.0,25.0,29.0,32.0,34.0,24.61,6.25
어르신,M,70~74,item_f023,의자앉았다일어서기,2404,13.0,15.0,18.0,22.0,27.0,31.0,33.0,22.6,6.22
어르신,M,75~79,item_f023,의자앉았다일어서기,1810,11.0,13.0,16.0,20.0,25.0,28.1,31.0,20.24,6.18
어르신,M,80+,item_f023,의자앉았다일어서기,1035,8.0,10.0,13.0,17.0,21.0,26.0,29.0,17.36,6.36
어르신,M,65~69,item_f002,체중,2907,54.63,57.6,62.9,68.2,74.0,79.9,83.94,68.66,8.79
어르신,M,70~74,item_f002,체중,2441,54.0,56.86,61.5,67.04,72.8,78.7,82.7,67.44,8.83
어르신,M,75~79,item_f002,체중,1844,51.71,54.8,60.0,65.8,71.5,77.0,80.68,65.88,8.8
어르신,M,80+,item_f002,체중,1058,48.94,52.07,56.9,62.9,68.79,74.8,78.31,63.12,9.09
